Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Tax Assessment Year,Tax Assessment Amt,Year Built,Lot Size (Sq.Ft.),Finished (Sq.Ft.),Bathroom,Bedrooms,Total Rooms,Last Sold Date,Months Since Last Sold,Last Sold Price,Zestimate Amount,Zestimate 1-Week Change,Zestimate Minimum,Zestimate Maximum,Zestimate $/Sq.Ft.,RentZestimate Amount,RentZestimate 1-Week Change,RentZestimate Minimum,RentZestimate Maximum,RentZestimate $/Sq.Ft.,Zestimate / Rent Value,Neighborhood,ZPID,Missing Cnt
535 Fordham Ave,Pittsburgh,PA,15226,40.393451,-80.025286,SingleFamily,2015,131400,1918,5311,2109,2,4,6,5/13/03,146,74500,145700,285,132587,158813,69.08,1430,99,844,1945,0.68,101.89,Brookline,11652712,0
1227 Brookline Blvd,Pittsburgh,PA,15226,40.392473,-80.011648,SingleFamily,2015,85800,1925,3150,1860,2,3,7,12/1/84,367,37500,105006,5770,97656,113406,56.45,1070,30,738,1455,0.58,98.14,Brookline,11649076,0
1929 Sidney St,Pittsburgh,PA,15203,40.429698,-79.977926,SingleFamily,2015,229700,1862,5000,2400,2,3,8,8/9/05,119,255000,376314,33603,319867,455340,156.8,2400,57,1920,3072,1,156.8,Southside Flats,11290824,0
234 Provost Rd,Pittsburgh,PA,15227,40.376227,-79.99434,SingleFamily,2015,80300,1931,3920,1320,2.5,3,6,11/5/10,56,78900,82900,1446,74610,91190,62.8,1081,-24,778,1492,0.82,76.69,Overbrook,11306299,0
1231 Love St,Pittsburgh,PA,15218,40.420531,-79.903094,SingleFamily,2015,120000,1952,5000,990,1.5,2,,5/2/11,50,124900,,,,,,1212,4,873,1745,1.22,,Swisshelm Park,11290360,5
5600 Munhall Rd APT 1005,Pittsburgh,PA,15217,40.433138,-79.926194,Condominium,2015,139500,1975,1100,1100,2,2,5,,,,204423,1925,194202,214644,185.84,1545,-18,1190,2101,1.4,132.31,Squirrel Hill South,11631792,2
1420 Beechview Ave,Pittsburgh,PA,15216,40.413421,-80.025169,VacantResidentialLand,2015,55100,1925,3000,2631,1.5,0,7,12/23/13,19,2051,,,,,,1067,-9,747,1515,0.41,,Beechview,11444735,4
416 Iberia St,Pittsburgh,PA,15211,40.424223,-80.000206,SingleFamily,2015,51000,1926,2613,1202,1,3,6,7/31/87,336,38900,81241,-94,73117,87740,67.59,1260,14,932,1550,1.05,64.48,Mount Washington,11517027,0
4 Lowen St,Pittsburgh,PA,15211,40.429635,-80.01244,SingleFamily,2015,74100,1910,2236,844,1.5,2,4,6/7/13,25,97000,101744,6355,92587,110901,120.55,1159,28,869,1634,1.37,87.79,Mount Washington,11515591,0
173 Watson Blvd,Pittsburgh,PA,15214,40.482446,-80.010067,SingleFamily,2015,50800,1936,2063,968,1,2,5,3/3/06,112,57000,67766,2987,60312,73187,70.01,837,6,670,1272,0.86,80.96,Perry North,11271007,0
4118 Winterburn Ave,Pittsburgh,PA,15207,40.424562,-79.940058,SingleFamily,2015,76900,1931,2548,848,1,2,5,5/30/07,98,102500,118708,7840,112773,124643,139.99,1198,69,863,1521,1.41,99.09,Greenfield,11540346,0
5922 Howe St APT 302,Pittsburgh,PA,15232,40.452696,-79.925589,Condominium,2015,282600,1890,1402,1402,2,2,4,1/23/06,114,160000,333747,-22953,307047,373797,238.05,2423,-44,1745,3005,1.73,137.74,Shadyside,11628808,0
140 Eiler Ave,Pittsburgh,PA,15210,40.391016,-79.983899,SingleFamily,2015,69900,1950,5200,1276,1.5,3,6,3/8/07,100,50000,68918,14675,63405,73742,54.01,871,3,758,1359,0.68,79.13,Carrick,11647622,0
3022 Merwyn Ave,Pittsburgh,PA,15204,40.457785,-80.052283,SingleFamily,2015,15500,1900,2500,1819,1,3,6,10/13/10,57,3750,48918,2206,39624,55277,26.89,837,34,670,1046,0.46,58.44,Sheraden,11482784,0
224 Hallock St,Pittsburgh,PA,15211,40.434176,-80.018515,Townhouse,2015,142500,2007,2670,1536,2.5,3,6,5/9/08,86,249900,220528,14377,196270,242581,143.57,1743,-11,1482,2214,1.13,126.52,Duquesne Heights,87988964,0
426 Glen Arden Dr,Pittsburgh,PA,15208,40.448486,-79.912147,SingleFamily,2015,457100,1934,11900,3738,4,5,10,2/7/07,101,620000,741845,47530,697334,823448,198.46,3342,46,2473,4111,0.89,221.98,Point Breeze,11287486,0
535 Fordham Ave,Pittsburgh,PA,15226,40.393451,-80.025286,SingleFamily,2015,131400,1918,5311,2109,2,4,6,5/13/03,146,74500,145700,285,132587,158813,69.08,1430,99,844,1945,0.68,101.89,Brookline,11652712,0
1227 Brookline Blvd,Pittsburgh,PA,15226,40.392473,-80.011648,SingleFamily,2015,85800,1925,3150,1860,2,3,7,12/1/84,367,37500,105006,5770,97656,113406,56.45,1070,30,738,1455,0.58,98.14,Brookline,11649076,0
1929 Sidney St,Pittsburgh,PA,15203,40.429698,-79.977926,SingleFamily,2015,229700,1862,5000,2400,2,3,8,8/9/05,119,255000,376314,33603,319867,455340,156.8,2400,57,1920,3072,1,156.8,Southside Flats,11290824,0
234 Provost Rd,Pittsburgh,PA,15227,40.376227,-79.99434,SingleFamily,2015,80300,1931,3920,1320,2.5,3,6,11/5/10,56,78900,82900,1446,74610,91190,62.8,1081,-24,778,1492,0.82,76.69,Overbrook,11306299,0
1231 Love St,Pittsburgh,PA,15218,40.420531,-79.903094,SingleFamily,2015,120000,1952,5000,990,1.5,2,,5/2/11,50,124900,,,,,,1212,4,873,1745,1.22,,Swisshelm Park,11290360,5
375 Lehigh Ave,Pittsburgh,PA,15232,40.455004,-79.926158,MultiFamily2To4,2015,303400,1910,3000,2004,2,2,12,12/4/06,103,178000,381840,-23575,355111,423842,190.54,2189,15,1467,3524,1.09,174.44,Shadyside,11625531,0
143 Conover Rd,Pittsburgh,PA,15208,40.453125,-79.911706,SingleFamily,2015,228300,1938,6000,1939,3.5,4,7,,,,359139,-22449,330408,395053,185.22,2474,7,1534,2919,1.28,145.17,Point Breeze,11286374,2
Wittmer St,Pittsburgh,PA,15212,40.48712,-80.04294,SingleFamily,,,,,1578,2,2,,,,,146850,,102795,193842,93.06,1200,,900,1644,0.76,122.38,Brighton Heights,2101965573,10
7223 Penn Ave,Pittsburgh,PA,15208,40.449139,-79.900415,SingleFamily,2015,129800,1930,4520,2025,1.5,4,7,3/21/08,88,2901,211575,25494,200996,222154,104.48,1574,146,1149,1999,0.78,134.42,Point Breeze North,11287810,0
811 Shadycrest Rd,Pittsburgh,PA,15216,40.423227,-80.025099,SingleFamily,2015,84800,1950,6271,1200,2,3,7,12/8/11,43,108000,114568,6646,101966,121442,95.47,1209,10,870,1644,1.01,94.76,Beechview,11335414,0
321 Mckinley St,Pittsburgh,PA,15210,40.409892,-79.994207,SingleFamily,2015,45400,1922,2945,1596,1,5,6,9/22/04,130,50000,55542,6779,49432,61096,34.8,867,13,754,1205,0.54,64.06,Knoxville,11436442,0
628 S Aiken Ave,Pittsburgh,PA,15232,40.451782,-79.936567,SingleFamily,2015,557000,1895,6805,3996,2.5,4,9,7/9/99,192,335000,790269,11770,750756,829782,197.77,3371,2,2596,4955,0.84,234.43,Shadyside,11528792,0
4407 Butler St,Pittsburgh,PA,15201,40.471828,-79.959861,SingleFamily,,,,,6000,,0,,,,,517137,,455081,615393,86.19,1439,,907,2561,0.24,359.37,Central Lawrenceville,2102099419,11
3400 Webster Ave,Pittsburgh,PA,15219,40.454852,-79.961604,SingleFamily,2015,50900,1920,8254,2628,3,5,8,12/16/04,127,6054,92410,-1498,68383,116437,35.16,1081,25,746,1719,0.41,85.49,Upper Hill,11403552,0
