Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Tax Assessment Year,Tax Assessment Amt,Year Built,Lot Size (Sq.Ft.),Finished (Sq.Ft.),Bathroom,Bedrooms,Total Rooms,Last Sold Date,Months Since Last Sold,Last Sold Price,Zestimate Amount,Zestimate 1-Week Change,Zestimate Minimum,Zestimate Maximum,Zestimate $/Sq.Ft.,RentZestimate Amount,RentZestimate 1-Week Change,RentZestimate Minimum,RentZestimate Maximum,RentZestimate $/Sq.Ft.,Zestimate / Rent Value,Neighborhood,ZPID,Missing Cnt
111 Grandview Ave APT 703,Pittsburgh,PA,15211,40.431506,-80.007128,Condominium,2015,455500,1978,2130,2130,2.5,3,5,11/24/98,200,280000,601986,-17711,571887,632085,282.62,3099,-65,2510,4308,1.45,194.25,Mount Washington,11515530,0
1617 Rutherford Ave,Pittsburgh,PA,15216,40.409737,-80.026236,SingleFamily,2015,42500,1957,3000,1100,1,3,6,9/30/99,190,54000,68232,3845,59362,76420,62.03,886,11,744,1152,0.81,77.01,Beechview,11445256,0
1610 Davis Ave,Pittsburgh,PA,15212,40.480534,-80.040151,MultiFamily2To4,2015,97900,1901,4913,3007,3,4,8,5/1/06,110,102500,137006,-306,127416,154817,45.56,944,-42,699,1284,0.31,145.13,Brighton Heights,11603720,0
1501 Davis Ave,Pittsburgh,PA,15212,40.480556,-80.037841,SingleFamily,2015,89000,1921,7400,2000,3,5,7,1/22/10,66,85000,121997,2678,100038,140297,61,1147,50,768,1617,0.57,106.36,Brighton Heights,11603683,0
103 Brosville St,Pittsburgh,PA,15203,40.424783,-79.985837,SingleFamily,2015,108200,1848,6534,1440,2,3,4,11/8/96,224,135000,190630,22169,171567,215412,132.38,1364,64,1091,1719,0.95,139.76,Southside Slopes,11475164,0
433 Moore Ave,Pittsburgh,PA,15210,40.411544,-79.996075,SingleFamily,2015,61000,1902,5215,1862,2,2,8,10/10/14,9,30000,64137,3632,53875,73758,34.45,866,20,667,1230,0.47,74.06,Knoxville,11435567,0
6425 Forbes Ave,Pittsburgh,PA,15217,40.438222,-79.91676,SingleFamily,2015,244300,1948,3632,2052,2.5,4,8,5/2/07,98,288000,389131,1694,350218,428044,189.63,2524,32,1817,3231,1.23,154.17,Squirrel Hill North,11631252,0
801 Wymore St,Pittsburgh,PA,15220,40.440616,-80.042503,MultiFamily2To4,2015,47500,1910,4704,2294,,0,8,7/17/78,444,27500,84683,2946,66900,98232,36.91,951,61,628,1379,0.41,89.05,Elliott,11362144,1
2459 Woodward Ave,Pittsburgh,PA,15226,40.398771,-80.023591,SingleFamily,2015,90500,1945,4000,1232,2,3,8,4/7/04,135,42000,96356,-5289,88648,106955,78.21,1134,35,839,1361,0.92,84.97,Brookline,11566247,0
1415 Squirrel Hill Ave,Pittsburgh,PA,15217,40.440936,-79.932757,SingleFamily,2015,671600,1913,100,4210,3.5,6,11,6/21/11,49,738420,878071,-19955,834167,974659,208.57,3316,136,1923,4543,0.79,264.8,Squirrel Hill North,11630523,0
73 Pasadena St,Pittsburgh,PA,15211,40.423081,-80.001482,SingleFamily,2015,46800,1925,2500,1575,1,4,6,10/31/02,153,42800,69049,-1012,62835,75263,43.84,1259,30,906,1511,0.8,54.84,Mount Washington,11323570,0
3827 Liberty Ave,Pittsburgh,PA,15201,40.462599,-79.959821,SingleFamily,2015,64700,1920,1088,1620,2,4,7,12/15/04,127,63900,79675,3971,63740,94016,49.18,1090,10,752,1363,0.67,73.1,Lower Lawrenceville,11514734,0
2336 Hillview St,Pittsburgh,PA,15234,40.378071,-79.996274,SingleFamily,2015,73600,1942,7000,1238,1.5,3,5,5/21/96,230,45000,98408,-411,88567,106281,79.49,1049,62,703,1311,0.85,93.81,Overbrook,11306132,0
3335 Brighton Rd,Pittsburgh,PA,15212,40.477613,-80.031866,SingleFamily,2015,89300,1958,5662,1622,2.5,3,7,,,,112143,-3184,106536,122236,69.14,1187,11,795,1781,0.73,94.48,Brighton Heights,11605774,2
1409 Monterey St,Pittsburgh,PA,15212,40.456776,-80.013623,SingleFamily,2015,77600,1880,1190,1284,1,2,4,,,,124952,3211,102461,141196,97.31,1263,-35,846,1680,0.98,98.93,Central Northside,11388193,2
1843 Woodcove Pl,Pittsburgh,PA,15216,40.408766,-80.036375,SingleFamily,2015,115600,1957,6720,955,1.5,3,5,,,,132714,982,124751,144658,138.97,1197,2,958,1484,1.25,110.87,Banksville,11453300,2
5110 Stanton Ave,Pittsburgh,PA,15201,40.478256,-79.955421,SingleFamily,,,,,,3,3,,,,,164785,,140067,184559,,1449,,869,2101,,113.72,Upper Lawrenceville,2102439164,11
217 S Lang Ave,Pittsburgh,PA,15208,40.448373,-79.904706,SingleFamily,2015,225400,1963,4460,2460,3,4,7,,,,476583,43449,414627,519475,193.73,2538,38,2030,3249,1.03,187.78,Point Breeze,11287734,2
2437 Rose Garden Rd,Pittsburgh,PA,15220,40.408036,-80.044886,SingleFamily,2015,166900,1963,6000,1764,2.5,4,7,2/3/00,185,39390,187150,-4765,175921,202122,106.09,1753,-7,1297,2261,0.99,106.76,Banksville,11453173,0
358 Lamarido St,Pittsburgh,PA,15226,40.400107,-80.015978,SingleFamily,2015,97300,1917,3000,1336,1,3,6,,,,117141,-4199,110113,126512,87.68,1201,-5,1009,1501,0.9,97.54,Brookline,11562057,2
501 Grandview Ave # 4002,Mt Washington,PA,15211,40.434784,-80.012184,Condominium,,,,,,2,2,,,,,730833,39557,577358,869691,,2144,-166,1136,3002,,340.87,Mount Washington,2113871964,9
14 Fairfield Ct,Pittsburgh,PA,15201,40.482821,-79.934736,SingleFamily,2015,102500,1960,4122,1188,1,3,6,,,,154459,2634,145191,162182,130.02,1237,4,965,1435,1.04,124.87,Stanton Heights,11275845,2
85 Pius St,Pittsburgh,PA,15203,40.42468,-79.981669,SingleFamily,2015,56600,1900,2000,882,1.5,2,4,1/13/06,114,123950,131901,17573,118711,138496,149.55,1172,25,984,1653,1.33,112.54,Southside Slopes,11291792,0
57TH Street Motors 5700 Butler St,Pittsburgh,PA,15201,40.485065,-79.946022,VacantResidentialLand,,,,,5115,,0,,,,,,,,,,1004,-6,683,1606,0.2,,Stanton Heights,2102457749,13
111 Grandview Ave APT 703,Pittsburgh,PA,15211,40.431506,-80.007128,Condominium,2015,455500,1978,2130,2130,2.5,3,5,11/24/98,200,280000,601986,-17711,571887,632085,282.62,3099,-65,2510,4308,1.45,194.25,Mount Washington,11515530,0
1617 Rutherford Ave,Pittsburgh,PA,15216,40.409737,-80.026236,SingleFamily,2015,42500,1957,3000,1100,1,3,6,9/30/99,190,54000,68232,3845,59362,76420,62.03,886,11,744,1152,0.81,77.01,Beechview,11445256,0
1610 Davis Ave,Pittsburgh,PA,15212,40.480534,-80.040151,MultiFamily2To4,2015,97900,1901,4913,3007,3,4,8,5/1/06,110,102500,137006,-306,127416,154817,45.56,944,-42,699,1284,0.31,145.13,Brighton Heights,11603720,0
1501 Davis Ave,Pittsburgh,PA,15212,40.480556,-80.037841,SingleFamily,2015,89000,1921,7400,2000,3,5,7,1/22/10,66,85000,121997,2678,100038,140297,61,1147,50,768,1617,0.57,106.36,Brighton Heights,11603683,0
103 Brosville St,Pittsburgh,PA,15203,40.424783,-79.985837,SingleFamily,2015,108200,1848,6534,1440,2,3,4,11/8/96,224,135000,190630,22169,171567,215412,132.38,1364,64,1091,1719,0.95,139.76,Southside Slopes,11475164,0
433 Moore Ave,Pittsburgh,PA,15210,40.411544,-79.996075,SingleFamily,2015,61000,1902,5215,1862,2,2,8,10/10/14,9,30000,64137,3632,53875,73758,34.45,866,20,667,1230,0.47,74.06,Knoxville,11435567,0
6425 Forbes Ave,Pittsburgh,PA,15217,40.438222,-79.91676,SingleFamily,2015,244300,1948,3632,2052,2.5,4,8,5/2/07,98,288000,389131,1694,350218,428044,189.63,2524,32,1817,3231,1.23,154.17,Squirrel Hill North,11631252,0
801 Wymore St,Pittsburgh,PA,15220,40.440616,-80.042503,MultiFamily2To4,2015,47500,1910,4704,2294,,0,8,7/17/78,444,27500,84683,2946,66900,98232,36.91,951,61,628,1379,0.41,89.05,Elliott,11362144,1
2459 Woodward Ave,Pittsburgh,PA,15226,40.398771,-80.023591,SingleFamily,2015,90500,1945,4000,1232,2,3,8,4/7/04,135,42000,96356,-5289,88648,106955,78.21,1134,35,839,1361,0.92,84.97,Brookline,11566247,0
1415 Squirrel Hill Ave,Pittsburgh,PA,15217,40.440936,-79.932757,SingleFamily,2015,671600,1913,100,4210,3.5,6,11,6/21/11,49,738420,878071,-19955,834167,974659,208.57,3316,136,1923,4543,0.79,264.8,Squirrel Hill North,11630523,0
73 Pasadena St,Pittsburgh,PA,15211,40.423081,-80.001482,SingleFamily,2015,46800,1925,2500,1575,1,4,6,10/31/02,153,42800,69049,-1012,62835,75263,43.84,1259,30,906,1511,0.8,54.84,Mount Washington,11323570,0
3827 Liberty Ave,Pittsburgh,PA,15201,40.462599,-79.959821,SingleFamily,2015,64700,1920,1088,1620,2,4,7,12/15/04,127,63900,79675,3971,63740,94016,49.18,1090,10,752,1363,0.67,73.1,Lower Lawrenceville,11514734,0
